"78", "Naruto's Ninja Handbook", "MANGA CANON", "2004-04-07"
"79", "Beyond the Limit of Darkness and Light", "MANGA CANON", "2004-04-14"
"80", "The Third Hokage, Forever...", "MANGA CANON", "2004-04-21"
"81", "Return of the Morning Mist", "MANGA CANON", "2004-04-28"
"82", "Eye to Eye: Sharingan vs. Sharingan!", "MANGA CANON", "2004-05-05"
"83", "Jiraiya: Naruto's Potential Disaster!", "MIXED CANON/FILLER", "2004-05-12"
"84", "Roar, Chidori! Brother vs. Brother!", "MANGA CANON", "2004-05-19"
"85", "Hate Among the Uchihas: The Last of the Clan!", "MANGA CANON", "2004-05-26"
"86", "A New Training Begins: I Will Be Strong!", "MANGA CANON", "2004-06-02"
"87", "Keep on Training: Pop Goes the Water Balloon!", "MANGA CANON", "2004-06-09"
"88", "Focal Point: The Mark of the Leaf", "MANGA CANON", "2004-06-16"
"89", "An Impossible Choice: The Pain Within Tsunade's Heart", "MANGA CANON", "2004-06-23"
"90", "Unforgivable! A Total Lack of Respect!", "MANGA CANON", "2004-07-07"
"91", "Inheritence! The Necklace of Death!", "MANGA CANON", "2004-07-14"
"92", "A Dubious Offer! Tsunade's Choice!", "MANGA CANON", "2004-07-21"
"93", "Breakdown! The Deal is Off!", "MANGA CANON", "2004-07-28"
"94", "Attack! Fury of the Rasengan!", "MANGA CANON", "2004-08-04"
"95", "The Fifth Hokage! A Life on the Line!", "MANGA CANON", "2004-08-11"
"96", "Deadlock! Sannin Showdown!", "MANGA CANON", "2004-08-11"
"97", "Kidnapped! Naruto's Hot Spring Adventure!", "FILLER", "2004-08-18"
"98", "Tsunade's Warning: Ninja No More!", "MIXED CANON/FILLER", "2004-08-25"
"99", "The Will of Fire Still Burns!", "MIXED CANON/FILLER", "2004-09-01"
"100", "Sensei and Student: The Bond of the Shinobi", "MIXED CANON/FILLER", "2004-09-08"
"101", "Gotta See! Gotta Know! Kakashi-Sensei's True Face!", "FILLER", "2004-09-15"
"102", "Mission: Help an Old Friend in the Land of Tea", "FILLER", "2004-09-22"
"103", "The Race is on! Trouble on the High Seas!", "FILLER", "2004-09-29"
"104", "Run Idate Run! Nagi Island Awaits!", "FILLER", "2004-10-13"
"105", "A Fierce Battle of Rolling Thunder!", "FILLER", "2004-10-20"
"106", "The Last Leg: A Final Act of Desperation", "FILLER", "2004-10-27"
"107", "The Battle Begins: Naruto vs. Sasuke", "MANGA CANON", "2004-11-03"
"108", "Bitter Rivals and Broken Bonds", "MANGA CANON", "2004-11-10"
"109", "An Invitation from the Sound", "MANGA CANON", "2004-11-17"
"110", "Formation! The Sasuke Retrieval Squad", "MANGA CANON", "2004-11-24"
"111", "Sound vs. Leaf", "MANGA CANON", "2004-11-24"
"112", "Squad Mutiny: Everything Falls Apart!", "MIXED CANON/FILLER", "2004-12-01"
"113", "Full Throttle Power! Choji, Ablaze!", "MIXED CANON/FILLER", "2004-12-08"
"114", "Good-bye Old Friend...! I'll Always Believe in You!", "MIXED CANON/FILLER", "2004-12-15"
"115", "Your Opponent Is Me!", "MANGA CANON", "2004-12-22"
"116", "360 Degrees of Vision: The Byakugan's Blind Spot", "MANGA CANON", "2005-01-05"
"117", "Losing is Not an Option!", "MANGA CANON", "2005-01-05"
"118", "The Vessel Arrives Too Late", "MANGA CANON", "2005-01-12"
"119", "Miscalculation: A New Enemy Appears!", "MANGA CANON", "2005-01-19"
"120", "Roar and Howl! The Ultimate Tag Team", "MANGA CANON", "2005-02-02"
"121", "To Each His Own Battle", "MANGA CANON", "2005-02-09"
"122", "Fakeout: Shikamaru's Comeback!", "MANGA CANON", "2005-02-16"
"123", "The Leaf's Handsome Devil!", "MANGA CANON", "2005-02-23"
"124", "The Beast Within", "MANGA CANON", "2005-03-02"
"125", "The Sand Shinobi: Allies of the Leaf", "MANGA CANON", "2005-03-09"
"126", "Showdown: Gaara vs. Kimimaro!", "MIXED CANON/FILLER", "2005-03-16"
"127", "Vengeful Strike! The Bracken Dance", "MIXED CANON/FILLER", "2005-03-30"
"128", "A Cry on Deaf Ears", "MANGA CANON", "2005-03-30"
"129", "Brothers: Distance Among the Uchiha", "MANGA CANON", "2005-04-06"
"130", "Father and Son, the Broken Crest", "MIXED CANON/FILLER", "2005-04-13"
"131", "The Secrets of the Mangekyo Sharingan!", "MIXED CANON/FILLER", "2005-04-20"
"132", "For a Friend", "MANGA CANON", "2005-04-27"
"133", "A Plea From a Friend", "MANGA CANON", "2005-05-04"
"134", "The End of Tears", "MANGA CANON", "2005-05-11"
"135", "The Promise That Could Not Be Kept", "MANGA CANON", "2005-05-18"
"136", "Deep Cover!? A Super S-Ranked Mission!", "FILLER", "2005-05-25"
"137", "A Town of Outlaws, the Shadow of the Fuma Clan", "FILLER", "2005-06-01"
"138", "Pure Betrayal, and a Fleeting Plea!", "FILLER", "2005-06-08"
"139", "Pure Terror! The House of Orochimaru", "FILLER", "2005-06-15"
"140", "Two Heartbeats: Kabuto's Trap", "FILLER", "2005-06-22"
"141", "Sakura's Determination", "MIXED CANON/FILLER", "2005-06-29"
"142", "The Three Villains from the Maximum Security Prison", "MIXED CANON/FILLER", "2005-07-06"
"143", "Tonton! I'm Counting on You!", "FILLER", "2005-07-13"
"144", "A New Squad! Two People and a Dog?!", "FILLER", "2005-07-20"
"145", "A New Formation: Ino-Shika-Cho!", "FILLER", "2005-07-27"
"146", "Orochimaru's Shadow", "FILLER", "2005-08-10"
"147", "A Clash of Fate: You Can't Bring Me Down", "FILLER", "2005-08-17"
"148", "Search for the Rare Bikochu Beetle", "FILLER", "2005-08-17"
"149", "What's the Difference? Don't All Insects Look Alike?", "FILLER", "2005-08-24"
"150", "A Battle of Bugs: The Deceivers and the Deceived", "FILLER", "2005-08-31"
"151", "Blaze Away Byakugan: This Is My Ninja Way", "FILLER", "2005-09-14"
"152", "Funeral March for the Living", "FILLER", "2005-09-21"
"153", "A Lesson Learned: The Iron Fist of Love", "FILLER", "2005-09-28"
"154", "The Enemy of the Byakugan", "FILLER", "2005-10-05"
"155", "The Dark Creeping Clouds", "FILLER", "2005-10-12"
"156", "Raiga's Counterattack", "FILLER", "2005-10-19"
"157", "Run! The Curry of Life", "FILLER", "2005-10-26"
"158", "Follow My Lead! The Great Survival Challenge", "FILLER", "2005-11-02"
"159", "Bounty Hunter from the Wilderness", "FILLER", "2005-11-09"
"160", "Hunt or Be Hunted?! Showdown at the O.K. Temple!", "FILLER", "2005-11-16"
"161", "The Appearance of Strange Visitors", "FILLER", "2005-11-23"
"162", "The Cursed Warrior", "FILLER", "2005-11-30"
"163", "The Tactician's Intent", "FILLER", "2005-12-07"
"164", "Too Late for Help", "FILLER", "2005-12-14"
"165", "The Death of Naruto", "FILLER", "2005-12-21"
"166", "When Time Stands Still", "FILLER", "2006-01-04"
"167", "When Egrets Flap Their Wings", "FILLER", "2006-01-04"
"168", "Mix It, Stretch It, Boil It Up! Burn, Copper Pot, Burn!", "FILLER", "2006-01-18"
"169", "Remembrance: The Lost Page", "FILLER", "2006-01-25"
"170", "The Closed Door", "FILLER", "2006-02-01"
"171", "Infiltration: The Set-Up!", "FILLER", "2006-02-08"
"172", "Despair: A Fractured Heart", "FILLER", "2006-02-15"
"173", "The Battle at Sea: The Power Unleashed!", "FILLER", "2006-02-22"
"174", "Impossible! Celebrity Ninja Art - Money Style Jutsu!", "FILLER", "2006-03-01"
"175", "The Treasure Hunt is On!", "FILLER", "2006-03-08"
"176", "Run, Dodge, Zigzag! Chase or Be Chased!", "FILLER", "2006-03-15"
"177", "Please, Mr. Postman!", "FILLER", "2006-03-22"
"178", "Encounter! The Boy with a Star's Name", "FILLER", "2006-03-29"
"179", "The Remembered Lullaby", "FILLER", "2006-04-05"
"180", "Hidden Jutsu: The Price of The Ninja Art: Kujaku", "FILLER", "2006-04-12"
"181", "Hoshikage, The Buried Truth", "FILLER", "2006-04-19"
"182", "Reunion, The Remaining time", "FILLER", "2006-04-26"
"183", "The Star's Radiance", "FILLER", "2006-05-03"
"184", "Kiba's Long Day!", "FILLER", "2006-05-10"
"185", "A Legend from the Hidden Leaf: The Onbaa!", "FILLER", "2006-05-17"
"186", "Laughing Shino", "FILLER", "2006-05-24"
"187", "Open for Business! The Leaf Moving Service", "FILLER", "2006-05-31"
"188", "Mystery of the Targeted Merchants", "FILLER", "2006-06-07"
"189", "A Limitless Supply of Ninja Tools", "FILLER", "2006-06-14"
"190", "The Byakugan Sees the Blind Spot", "FILLER", "2006-06-21"
"191", "Forecast: Death! Cloudy with Chance of Sun", "FILLER", "2006-06-28"
"192", "Ino Screams! Chubby Paradise!", "FILLER", "2006-07-05"
"193", "Viva Dojo Challenge! Youth Is All About Passion!", "FILLER", "2006-07-12"
"194", "The Mysterious Curse of the Haunted Castle", "FILLER", "2006-07-19"
"195", "The Third Super-Beast!", "FILLER", "2006-07-26"
"196", "Hot-Blooded Confrontation: Student vs. Sensei", "FILLER", "2006-08-09"
"197", "Crisis! The Hidden Leaf 11 Gather!", "FILLER", "2006-08-16"
"198", "The ANBU Gives Up? Naruto's Recollection", "FILLER", "2006-08-23"
"199", "The Missed Target", "FILLER", "2006-08-30"
"200", "The Powerful Helper", "FILLER", "2006-09-13"
"201", "Multiple Traps! Countdown to Destruction", "FILLER", "2006-09-20"
"202", "The Top 5 Ninja Battles", "FILLER", "2006-09-27"
"203", "Kurenai's Decision, Squad 8 Left Behind", "FILLER", "2006-10-05"
"204", "Yakumo's Sealed Ability", "FILLER", "2006-10-05"
"205", "Kurenai's Top-Secret Mission: The Promise With the Third Hokage", "FILLER", "2006-10-05"
"206", "Genjutsu or Reality?", "FILLER", "2006-10-19"
"207", "The Supposed Sealed Ability", "FILLER", "2006-10-26"
"208", "The Weight of the Prized Artifact!", "FILLER", "2006-11-02"
"209", "The Enemy: Ninja Dropouts", "FILLER", "2006-11-09"
"210", "The Bewildering Forest", "FILLER", "2006-11-16"
"211", "Memory of Flames", "FILLER", "2006-11-30"
"212", "To Each His Own Path", "FILLER", "2006-12-07"
"213", "Vanished Memories", "FILLER", "2006-12-14"
"214", "Bringing Back Reality", "FILLER", "2006-12-21"
"215", "A Past to Be Erased", "FILLER", "2006-12-21"
"216", "The Targeted Shukaku", "FILLER", "2007-01-11"
"217", "Sand Alliance with the Leaf Shinobi", "FILLER", "2007-01-18"
"218", "The Counterattack!", "FILLER", "2007-01-25"
"219", "The Ultimate Weapon Reborn", "FILLER", "2007-02-01"
"220", "Departure", "MIXED CANON/FILLER", "2007-02-08"
